"lexicon_key","type","synonyms",
"deebot_601","model","601,DO3G.11,DEEBOT601,DEEBOT 601",
"deebot_605","model","605,DEEBOT605,DO3G.12,DEEBOT 605",
"deebot_661","model","661,DO3G.23,DEEBOT661,DEEBOT 661",
"deebot_701","model","DEEBOT 701,701,DEEBOT701",
"deebot_715","model","DEEBOT715,715,DEEBOT 715",
"deebot_710","model","DS3G.10,DEEBOT 710,710,DEEBOT710",
"deebot_711","model","DEEBOT 711,DEEBOT711,711",
"deebot_711s","model","DEEBOT 711S,711S,711 S,DEEBOT 711 S",
"deebot_930","model","DEEBOT PRO 930,DEEBOT930,PRO 930,DEEBOT 930,930",
"deebot_907","model","DEEBOT 907,DEEBOT907,DG716,907",
"deebot_901","model","DEEBOT 901,DG711,DEEBOT901,901",
"deebot_900","model","DEEBOT900,DG710,DEEBOT 900,900",
"ozmo_u2","model","DEEBOT OZMOU2,OZMO U2,OZMOU2,DEEBOT OZMO U2",
"ozmo_u2_pro","model","OZMO U2PRO,OZMO U2 PRO,DEEBOT OZMO U2 PRO,DEEBOT OZMOU2PRO",
"ozmo_950_care","model","DEEBOT OZMO 950 CARE,OZMO 950 CARE,OZMO950 CARE,DEEBOT OZMO950 CARE",
"ozmo_slim10","model","OZMO SLIM10,DEEBOT OZMOSLIM10,DEEBOT OZMO SLIM10,OZMO SLIM 10",
"ozmo_slim11","model","DEEBOT OZMO SLIM11,DEEBOT OZMOSLIM11,OZMO SLIM 11,OZMO SLIM11",
"ozmo_601","model","OZMO 601,OZMO601,DEEBOT OZMO601,DEEBOT OZMO 601",
"ozmo_610","model","DEEBOT OZMO610,OZMO 610,DEEBOT OZMO 610,OZMO610",
"ozmo_661","model","OZMO661,DEEBOT OZMO661,DEEBOT OZMO 661,OZMO 661",
"ozmo_750","model","OZMO750,DEEBOT OZMO750,DEEBOT OZMO 750,OZMO 750",
"ozmo_760","model","OZMO 760,DEEBOT OZMO760,OZMO760,DEEBOT OZMO 760",
"ozmo_900","model","DEEBOT OZMO 900,OZMO 900,OZMO900,DEEBOT OZMO900",
"ozmo_905","model","DEEBOT OZMO905,DEEBOT OZMO 905,OZMO905,OZMO 905",
"ozmo_920","model","OZMO 920,OZMO920,DEEBOT OZMO920,DEEBOT OZMO 920",
"ozmo_930","model","DEEBOT OZMO 930,DEEBOT OZMO930,OZMO 930,OZMO930",
"ozmo_937","model","OZMO937,DEEBOT OZMO 937,OZMO 937,DEEBOT OZMO937",
"ozmo_950","model","OZMO 950,DEEBOT OZMO 950,OZMO950,DEEBOT OZMO950",
"ozmo_960","model","DEEBOT OZMO 960,OZMO 960,DEEBOT OZMO960,OZMO960",
"n78","model","DEEBOT N78,N78,DEEBOT N 78,N 78",
"n78d","model","DEEBOT N78 D,DEEBOT N78D,N78D,N78 D",
"n79","model","DEEBOT N79,N79,N 79,DEEBOT N 79,DN620",
"n79t","model","N79 T,DEEBOT N79 T,N79T,DEEBOT N79T",
"n79s","model","N79S,DEEBOT N79 S,DN622,DEEBOT N79S,N79 S",
"n79se","model","DEEBOT N79SE,DEEBOT N79 SE,N79SE,N79 SE",
"n79w","model","N79W,DEEBOT N79W,N79 W,DEEBOT N79 W",
"n79w_plus","model","N79W Plus,N79W+,N79WPLUS,N79W PLUS,DEEBOT N79WPLUS,DEEBOT N79W+",
"n5","model","DEEBOT N 5,DEEBOT N5,N5,N 5",
"n5s","model","DEEBOT N5 S,N5 S,N5S,DEEBOT N5S",
"n7","model","N 7,DEEBOT N 7,N7,DEEBOT N7",
"n8","model","DEEBOT N8,N8,N 8,DEEBOT N 8",
"n8_plus","model","N8+,N8PLUS,DEEBOT N8+,N8 PLUS,DEEBOT N8PLUS,DEEBOT N8 PLUS",
"n8_pro","model","N8 Pro,N8 PRO,DEEBOT N8 PRO,N8PRO,DEEBOT N8PRO",
"n8_pro_care","model","N8 PRO CARE,DEEBOT N8 PRO CARE,N8PRO CARE,N8 Pro Care,DEEBOT N8PRO CARE",
"n8_pro_plus","model","N8PRO+,N8 PRO PLUS,DEEBOT N8 PRO+,N8 PRO+,DEEBOT N8 PRO PLUS,DEEBOT N8PRO+,N8PRO PLUS",
"n10","model","N 10,DEEBOT N 10,N10,DEEBOT N10",
"n10_plus","model","N10+,DEEBOT N10 PLUS,DEEBOT N10+,N10 Plus,N10PLUS,N10 PLUS,DEEBOT N10PLUS",
"n20","model","N 20,N20,DEEBOT N 20,DEEBOT N20",
"n20_max_plus_black","model","DEEBOT N20 MAX PLUS BLACK,YDLX11-32EE,N20MAX PLUS BLACK,N20 MAX PLUS BLACK",
"n20_max_plus_white","model","N20MAX PLUS WHITE,ディーポットN20 マックス プラス,DEEBOT N20 MAX PLUS WHITE,YDLX11-31EE,N20 MAX PLUS WHITE",
"n20_pro","model","N20 PRO,DEEBOT N20PRO,N20 Pro,DEEBOT N20 PRO,N20PRO",
"n20_plus","model","DEEBOT N20PLUS,N20 PLUS,DEEBOT N20 PLUS,N20PLUS,N20+,N20 Plus",
"n20_pro_plus","model","DEEBOT N20PRO PLUS,N20 PRO PLUS,N20 Pro Plus,N20 PRO+,DEEBOT N20 PRO PLUS,N20PRO PLUS",
"n30_omni","model","DEEBOT N30OMNI,DEEBOT N30 OMNI,N30 OMNI,N30 Omni,N30,N30OMNI",
"n30_pro_omni","model","N30 PRO OMNI,N30PRO OMNI,DEEBOT N30PRO OMNI,N30 Pro Omni,DEEBOT N30 PRO OMNI",
"n50","model","地宝N50,DEEBOT N 50,DEEBOT N50,N50,N 50",
"t5","model","OZMO T5,DEEBOT OZMO T5,DEEBOT T5,DEEBOT T 5,T5",
